,Zip,Positive_Cases,update_date,update_time
73,60124,14,04-17-2020,17:34
74,60126,76,04-17-2020,17:34
75,60130,47,04-17-2020,17:34
76,60131,67,04-17-2020,17:34
77,60133,78,04-17-2020,17:34
78,60134,16,04-17-2020,17:34
79,60136,12,04-17-2020,17:34
80,60137,35,04-17-2020,17:34
81,60139,74,04-17-2020,17:34
82,60140,16,04-17-2020,17:34
83,60142,18,04-17-2020,17:34
84,60143,14,04-17-2020,17:34
85,60148,83,04-17-2020,17:34
86,60153,116,04-17-2020,17:34
87,60154,67,04-17-2020,17:34
88,60155,32,04-17-2020,17:34
89,60156,22,04-17-2020,17:34
90,60160,96,04-17-2020,17:34
91,60162,45,04-17-2020,17:34
92,60163,15,04-17-2020,17:34
93,60164,69,04-17-2020,17:34
94,60165,27,04-17-2020,17:34
95,60169,38,04-17-2020,17:34
96,60171,29,04-17-2020,17:34
97,60172,31,04-17-2020,17:34
98,60173,10,04-17-2020,17:34
99,60174,21,04-17-2020,17:34
100,60175,23,04-17-2020,17:34
101,60176,23,04-17-2020,17:34
102,60177,20,04-17-2020,17:34
103,60178,10,04-17-2020,17:34
104,60181,69,04-17-2020,17:34
105,60185,66,04-17-2020,17:34
106,60187,19,04-17-2020,17:34
107,60188,101,04-17-2020,17:34
108,60189,31,04-17-2020,17:34
109,60190,9,04-17-2020,17:34
110,60191,19,04-17-2020,17:34
111,60192,13,04-17-2020,17:34
112,60193,51,04-17-2020,17:34
113,60194,25,04-17-2020,17:34
114,60201,105,04-17-2020,17:34
115,60202,108,04-17-2020,17:34
116,60203,14,04-17-2020,17:34
117,60301,11,04-17-2020,17:34
118,60302,77,04-17-2020,17:34
119,60304,32,04-17-2020,17:34
120,60305,16,04-17-2020,17:34
121,60401,22,04-17-2020,17:34
122,60402,228,04-17-2020,17:34
123,60403,55,04-17-2020,17:34
124,60404,34,04-17-2020,17:34
125,60406,76,04-17-2020,17:34
126,60409,182,04-17-2020,17:34
127,60410,11,04-17-2020,17:34
128,60411,249,04-17-2020,17:34
129,60415,59,04-17-2020,17:34
130,60417,57,04-17-2020,17:34
131,60418,29,04-17-2020,17:34
132,60419,120,04-17-2020,17:34
133,60422,44,04-17-2020,17:34
134,60423,58,04-17-2020,17:34
135,60425,45,04-17-2020,17:34
136,60426,127,04-17-2020,17:34
137,60428,73,04-17-2020,17:34
138,60429,89,04-17-2020,17:34
139,60430,90,04-17-2020,17:34
140,60431,73,04-17-2020,17:34
141,60432,47,04-17-2020,17:34
142,60433,66,04-17-2020,17:34
143,60434,19,04-17-2020,17:34
144,60435,205,04-17-2020,17:34
145,60436,44,04-17-2020,17:34
146,60438,108,04-17-2020,17:34
147,60439,35,04-17-2020,17:34
148,60440,160,04-17-2020,17:34
149,60441,74,04-17-2020,17:34
150,60442,16,04-17-2020,17:34
151,60443,147,04-17-2020,17:34
152,60445,42,04-17-2020,17:34
153,60446,102,04-17-2020,17:34
154,60447,9,04-17-2020,17:34
155,60448,40,04-17-2020,17:34
156,60449,29,04-17-2020,17:34
157,60450,14,04-17-2020,17:34
158,60451,41,04-17-2020,17:34
159,60452,57,04-17-2020,17:34
160,60453,163,04-17-2020,17:34
161,60455,67,04-17-2020,17:34
162,60456,14,04-17-2020,17:34
163,60457,34,04-17-2020,17:34
164,60458,23,04-17-2020,17:34
165,60459,78,04-17-2020,17:34
166,60461,28,04-17-2020,17:34
167,60462,82,04-17-2020,17:34
168,60463,43,04-17-2020,17:34
169,60464,11,04-17-2020,17:34
170,60465,45,04-17-2020,17:34
171,60466,209,04-17-2020,17:34
172,60467,54,04-17-2020,17:34
173,60468,9,04-17-2020,17:34
174,60469,15,04-17-2020,17:34
175,60471,83,04-17-2020,17:34
176,60472,33,04-17-2020,17:34
177,60473,154,04-17-2020,17:34
178,60475,36,04-17-2020,17:34
179,60477,66,04-17-2020,17:34
180,60478,106,04-17-2020,17:34
181,60480,11,04-17-2020,17:34
182,60481,8,04-17-2020,17:34
183,60482,21,04-17-2020,17:34
184,60484,46,04-17-2020,17:34
185,60487,42,04-17-2020,17:34
186,60490,60,04-17-2020,17:34
187,60491,63,04-17-2020,17:34
188,60501,29,04-17-2020,17:34
189,60502,24,04-17-2020,17:34
190,60503,11,04-17-2020,17:34
191,60504,45,04-17-2020,17:34
192,60505,83,04-17-2020,17:34
193,60506,98,04-17-2020,17:34
194,60510,15,04-17-2020,17:34
195,60513,48,04-17-2020,17:34
196,60514,24,04-17-2020,17:34
197,60515,26,04-17-2020,17:34
198,60516,30,04-17-2020,17:34
199,60517,55,04-17-2020,17:34
200,60521,26,04-17-2020,17:34
201,60523,29,04-17-2020,17:34
202,60525,70,04-17-2020,17:34
203,60526,21,04-17-2020,17:34
204,60527,127,04-17-2020,17:34
205,60532,29,04-17-2020,17:34
206,60534,21,04-17-2020,17:34
207,60538,22,04-17-2020,17:34
208,60540,27,04-17-2020,17:34
209,60542,16,04-17-2020,17:34
210,60543,39,04-17-2020,17:34
211,60544,49,04-17-2020,17:34
212,60545,9,04-17-2020,17:34
213,60546,47,04-17-2020,17:34
214,60551,9,04-17-2020,17:34
215,60554,9,04-17-2020,17:34
216,60555,20,04-17-2020,17:34
217,60558,13,04-17-2020,17:34
218,60559,62,04-17-2020,17:34
219,60560,18,04-17-2020,17:34
220,60561,46,04-17-2020,17:34
221,60563,38,04-17-2020,17:34
222,60564,48,04-17-2020,17:34
223,60565,63,04-17-2020,17:34
224,60585,33,04-17-2020,17:34
225,60586,90,04-17-2020,17:34
226,60601,35,04-17-2020,17:34
227,60605,69,04-17-2020,17:34
228,60606,17,04-17-2020,17:34
229,60607,138,04-17-2020,17:34
230,60608,339,04-17-2020,17:34
231,60609,248,04-17-2020,17:34
232,60610,104,04-17-2020,17:34
233,60611,74,04-17-2020,17:34
234,60612,255,04-17-2020,17:34
235,60613,155,04-17-2020,17:34
236,60614,180,04-17-2020,17:34
237,60615,164,04-17-2020,17:34
238,60616,179,04-17-2020,17:34
239,60617,337,04-17-2020,17:34
240,60618,256,04-17-2020,17:34
241,60619,364,04-17-2020,17:34
242,60620,444,04-17-2020,17:34
243,60621,180,04-17-2020,17:34
244,60622,186,04-17-2020,17:34
245,60623,416,04-17-2020,17:34
246,60624,270,04-17-2020,17:34
247,60625,277,04-17-2020,17:34
248,60626,230,04-17-2020,17:34
249,60628,359,04-17-2020,17:34
250,60629,420,04-17-2020,17:34
251,60630,160,04-17-2020,17:34
252,60631,91,04-17-2020,17:34
253,60632,316,04-17-2020,17:34
254,60633,40,04-17-2020,17:34
255,60634,308,04-17-2020,17:34
256,60636,206,04-17-2020,17:34
257,60637,205,04-17-2020,17:34
258,60638,202,04-17-2020,17:34
259,60639,430,04-17-2020,17:34
260,60640,227,04-17-2020,17:34
261,60641,232,04-17-2020,17:34
262,60642,38,04-17-2020,17:34
263,60643,309,04-17-2020,17:34
264,60644,324,04-17-2020,17:34
265,60645,408,04-17-2020,17:34
266,60646,75,04-17-2020,17:34
267,60647,191,04-17-2020,17:34
268,60649,244,04-17-2020,17:34
269,60651,326,04-17-2020,17:34
270,60652,191,04-17-2020,17:34
271,60653,193,04-17-2020,17:34
272,60654,53,04-17-2020,17:34
273,60655,119,04-17-2020,17:34
274,60656,87,04-17-2020,17:34
275,60657,158,04-17-2020,17:34
276,60659,225,04-17-2020,17:34
277,60660,121,04-17-2020,17:34
278,60661,20,04-17-2020,17:34
279,60706,81,04-17-2020,17:34
280,60707,160,04-17-2020,17:34
281,60712,71,04-17-2020,17:34
282,60714,132,04-17-2020,17:34
283,60803,55,04-17-2020,17:34
284,60804,317,04-17-2020,17:34
285,60805,67,04-17-2020,17:34
286,60827,121,04-17-2020,17:34
287,60901,158,04-17-2020,17:34
288,60914,47,04-17-2020,17:34
289,60915,10,04-17-2020,17:34
290,60950,15,04-17-2020,17:34
291,60954,9,04-17-2020,17:34
292,60964,9,04-17-2020,17:34
293,61008,14,04-17-2020,17:34
294,61016,6,04-17-2020,17:34
295,61021,11,04-17-2020,17:34
296,61032,8,04-17-2020,17:34
297,61065,6,04-17-2020,17:34
298,61068,26,04-17-2020,17:34
299,61081,17,04-17-2020,17:34
300,61101,12,04-17-2020,17:34
301,61102,17,04-17-2020,17:34
302,61103,17,04-17-2020,17:34
303,61104,10,04-17-2020,17:34
304,61107,8,04-17-2020,17:34
305,61108,25,04-17-2020,17:34
306,61109,18,04-17-2020,17:34
307,61114,11,04-17-2020,17:34
308,61201,34,04-17-2020,17:34
309,61235,6,04-17-2020,17:34
310,61241,9,04-17-2020,17:34
311,61244,56,04-17-2020,17:34
312,61264,8,04-17-2020,17:34
313,61265,48,04-17-2020,17:34
314,61282,12,04-17-2020,17:34
315,61604,7,04-17-2020,17:34
316,61611,7,04-17-2020,17:34
317,61614,9,04-17-2020,17:34
318,61615,8,04-17-2020,17:34
319,61701,31,04-17-2020,17:34
320,61704,16,04-17-2020,17:34
321,61705,7,04-17-2020,17:34
322,61761,18,04-17-2020,17:34
323,61764,9,04-17-2020,17:34
324,61801,11,04-17-2020,17:34
325,61802,16,04-17-2020,17:34
326,61820,6,04-17-2020,17:34
327,61821,10,04-17-2020,17:34
328,61822,23,04-17-2020,17:34
329,61853,7,04-17-2020,17:34
330,61874,6,04-17-2020,17:34
331,61910,6,04-17-2020,17:34
332,62002,28,04-17-2020,17:34
333,62024,6,04-17-2020,17:34
334,62025,23,04-17-2020,17:34
335,62034,8,04-17-2020,17:34
336,62035,8,04-17-2020,17:34
337,62040,28,04-17-2020,17:34
338,62052,7,04-17-2020,17:34
339,62060,7,04-17-2020,17:34
340,62095,7,04-17-2020,17:34
341,62201,8,04-17-2020,17:34
342,62203,9,04-17-2020,17:34
343,62204,8,04-17-2020,17:34
344,62205,7,04-17-2020,17:34
345,62206,22,04-17-2020,17:34
346,62207,14,04-17-2020,17:34
347,62208,18,04-17-2020,17:34
348,62220,17,04-17-2020,17:34
349,62221,26,04-17-2020,17:34
350,62223,19,04-17-2020,17:34
351,62226,36,04-17-2020,17:34
352,62233,27,04-17-2020,17:34
353,62234,17,04-17-2020,17:34
354,62236,27,04-17-2020,17:34
355,62258,11,04-17-2020,17:34
356,62265,8,04-17-2020,17:34
357,62269,21,04-17-2020,17:34
358,62278,11,04-17-2020,17:34
359,62294,10,04-17-2020,17:34
360,62298,22,04-17-2020,17:34
361,62301,13,04-17-2020,17:34
362,62305,12,04-17-2020,17:34
363,62471,10,04-17-2020,17:34
364,62521,33,04-17-2020,17:34
365,62526,7,04-17-2020,17:34
366,62568,21,04-17-2020,17:34
367,62650,11,04-17-2020,17:34
368,62702,14,04-17-2020,17:34
369,62703,6,04-17-2020,17:34
370,62711,10,04-17-2020,17:34
371,62801,32,04-17-2020,17:34
372,62864,8,04-17-2020,17:34
373,62901,31,04-17-2020,17:34
374,62959,8,04-17-2020,17:34
