Zip,Positive Cases,Deaths
62305,11,N/A
62471,10,N/A
62521,28,N/A
62526,7,N/A
62568,21,N/A
62650,10,N/A
62702,11,N/A
62711,8,N/A
62801,29,N/A
62901,27,N/A
62959,6,N/A
