update_date,update_time,Zip,Positive_Cases,Tested
05-05-2020,14:45,61111,22,268
05-05-2020,14:45,61114,30,170
05-05-2020,14:45,61115,22,240
05-05-2020,14:45,61201,114,445
05-05-2020,14:45,61235,8,38
05-05-2020,14:45,61240,6,57
05-05-2020,14:45,61241,14,96
05-05-2020,14:45,61244,122,354
05-05-2020,14:45,61252,8,46
05-05-2020,14:45,61254,6,160
05-05-2020,14:45,61264,15,131
05-05-2020,14:45,61265,142,624
05-05-2020,14:45,61275,7,45
05-05-2020,14:45,61282,29,111
05-05-2020,14:45,61341,6,80
05-05-2020,14:45,61342,14,97
05-05-2020,14:45,61350,6,213
05-05-2020,14:45,61356,6,103
05-05-2020,14:45,61401,47,549
05-05-2020,14:45,61443,13,167
05-05-2020,14:45,61455,30,218
05-05-2020,14:45,61462,78,212
05-05-2020,14:45,61525,6,89
05-05-2020,14:45,61554,15,396
05-05-2020,14:45,61603,14,326
05-05-2020,14:45,61604,22,496
05-05-2020,14:45,61605,6,282
05-05-2020,14:45,61611,17,279
05-05-2020,14:45,61614,34,355
05-05-2020,14:45,61615,18,306
05-05-2020,14:45,61701,35,812
05-05-2020,14:45,61704,18,630
05-05-2020,14:45,61705,8,241
05-05-2020,14:45,61761,26,702
05-05-2020,14:45,61764,10,179
05-05-2020,14:45,61801,19,399
05-05-2020,14:45,61802,26,482
05-05-2020,14:45,61820,33,409
05-05-2020,14:45,61821,27,600
05-05-2020,14:45,61822,30,475
05-05-2020,14:45,61832,14,358
05-05-2020,14:45,61853,9,255
05-05-2020,14:45,61866,44,345
05-05-2020,14:45,61874,7,153
05-05-2020,14:45,61910,6,53
05-05-2020,14:45,61920,10,160
05-05-2020,14:45,61938,9,194
05-05-2020,14:45,61953,9,96
05-05-2020,14:45,62002,52,231
05-05-2020,14:45,62010,8,54
05-05-2020,14:45,62024,7,37
05-05-2020,14:45,62025,96,403
05-05-2020,14:45,62034,42,146
05-05-2020,14:45,62035,12,85
05-05-2020,14:45,62040,59,329
05-05-2020,14:45,62052,11,56
05-05-2020,14:45,62056,11,132
05-05-2020,14:45,62060,12,47
05-05-2020,14:45,62062,7,136
05-05-2020,14:45,62069,7,55
05-05-2020,14:45,62088,6,189
05-05-2020,14:45,62090,7,13
05-05-2020,14:45,62095,9,76
05-05-2020,14:45,62201,13,42
05-05-2020,14:45,62203,22,58
05-05-2020,14:45,62204,30,50
05-05-2020,14:45,62205,24,64
05-05-2020,14:45,62206,53,242
05-05-2020,14:45,62207,30,68
05-05-2020,14:45,62208,37,126
05-05-2020,14:45,62220,58,150
05-05-2020,14:45,62221,45,171
05-05-2020,14:45,62223,36,101
05-05-2020,14:45,62226,76,396
05-05-2020,14:45,62230,6,55
05-05-2020,14:45,62231,59,211
05-05-2020,14:45,62232,7,42
05-05-2020,14:45,62233,64,236
05-05-2020,14:45,62234,30,206
05-05-2020,14:45,62236,34,96
05-05-2020,14:45,62239,9,21
05-05-2020,14:45,62249,10,82
05-05-2020,14:45,62254,18,69
05-05-2020,14:45,62257,7,36
05-05-2020,14:45,62258,14,65
05-05-2020,14:45,62265,8,38
05-05-2020,14:45,62269,50,204
05-05-2020,14:45,62272,40,93
05-05-2020,14:45,62274,7,64
05-05-2020,14:45,62278,14,80
05-05-2020,14:45,62286,23,147
05-05-2020,14:45,62288,26,101
05-05-2020,14:45,62294,15,79
05-05-2020,14:45,62295,6,13
05-05-2020,14:45,62298,35,141
05-05-2020,14:45,62301,19,359
05-05-2020,14:45,62305,15,97
05-05-2020,14:45,62448,39,200
05-05-2020,14:45,62454,7,96
05-05-2020,14:45,62471,15,91
05-05-2020,14:45,62521,75,500
05-05-2020,14:45,62522,21,87
05-05-2020,14:45,62526,22,210
05-05-2020,14:45,62565,7,50
05-05-2020,14:45,62568,25,194
05-05-2020,14:45,62618,39,346
05-05-2020,14:45,62629,8,222
05-05-2020,14:45,62650,20,315
05-05-2020,14:45,62656,7,316
05-05-2020,14:45,62664,9,53
05-05-2020,14:45,62684,59,229
05-05-2020,14:45,62702,39,722
05-05-2020,14:45,62703,32,522
05-05-2020,14:45,62704,28,677
05-05-2020,14:45,62707,10,137
05-05-2020,14:45,62711,15,254
05-05-2020,14:45,62801,46,439
05-05-2020,14:45,62832,13,171
05-05-2020,14:45,62864,74,487
05-05-2020,14:45,62901,82,424
05-05-2020,14:45,62902,12,63
05-05-2020,14:45,62906,9,144
05-05-2020,14:45,62907,11,36
05-05-2020,14:45,62918,9,120
05-05-2020,14:45,62920,16,64
05-05-2020,14:45,62948,6,183
05-05-2020,14:45,62959,18,419
05-05-2020,14:45,62966,37,260
05-05-2020,14:45,62992,16,44
05-04-2020,22:16,46324,7,75
05-04-2020,22:16,46394,6,36
05-04-2020,22:16,53142,13,87
05-04-2020,22:16,54302,7,32
05-04-2020,22:16,60002,56,391
05-04-2020,22:16,60004,146,1540
05-04-2020,22:16,60005,81,470
05-04-2020,22:16,60007,113,542
05-04-2020,22:16,60008,128,419
05-04-2020,22:16,60010,47,428
05-04-2020,22:16,60012,54,147
05-04-2020,22:16,60013,45,242
05-04-2020,22:16,60014,86,596
05-04-2020,22:16,60015,102,594
05-04-2020,22:16,60016,605,1804
05-04-2020,22:16,60018,266,834
05-04-2020,22:16,60020,19,157
05-04-2020,22:16,60021,9,69
05-04-2020,22:16,60022,23,186
05-04-2020,22:16,60025,211,1062
05-04-2020,22:16,60026,89,366
05-04-2020,22:16,60030,77,546
05-04-2020,22:16,60031,153,722
05-04-2020,22:16,60033,63,224
05-04-2020,22:16,60035,156,823
05-04-2020,22:16,60040,47,133
05-04-2020,22:16,60041,22,127
05-04-2020,22:16,60042,14,85
05-04-2020,22:16,60043,14,88
05-04-2020,22:16,60044,56,263
05-04-2020,22:16,60045,92,460
05-04-2020,22:16,60046,93,530
05-04-2020,22:16,60047,93,425
05-04-2020,22:16,60048,66,418
05-04-2020,22:16,60050,106,458
05-04-2020,22:16,60051,49,318
05-04-2020,22:16,60053,155,665
05-04-2020,22:16,60056,295,1115
05-04-2020,22:16,60060,195,628
05-04-2020,22:16,60061,89,397
05-04-2020,22:16,60062,189,1123
05-04-2020,22:16,60064,311,605
05-04-2020,22:16,60067,69,534
05-04-2020,22:16,60068,169,763
05-04-2020,22:16,60069,40,189
05-04-2020,22:16,60070,100,346
05-04-2020,22:16,60071,6,47
05-04-2020,22:16,60073,309,1019
05-04-2020,22:16,60074,159,674
05-04-2020,22:16,60076,279,1255
05-04-2020,22:16,60077,237,1034
05-04-2020,22:16,60081,27,118
05-04-2020,22:16,60083,55,179
05-04-2020,22:16,60084,93,212
05-04-2020,22:16,60085,1214,2206
05-04-2020,22:16,60087,309,676
05-04-2020,22:16,60088,34,68
05-04-2020,22:16,60089,119,594
05-04-2020,22:16,60090,290,921
05-04-2020,22:16,60091,106,705
05-04-2020,22:16,60093,101,567
05-04-2020,22:16,60096,17,96
05-04-2020,22:16,60097,20,157
05-04-2020,22:16,60098,165,520
05-04-2020,22:16,60099,260,687
05-04-2020,22:16,60101,329,962
05-04-2020,22:16,60102,69,362
05-04-2020,22:16,60103,109,615
05-04-2020,22:16,60104,247,787
05-04-2020,22:16,60106,253,861
05-04-2020,22:16,60107,221,778
05-04-2020,22:16,60108,120,940
05-04-2020,22:16,60110,207,496
05-04-2020,22:16,60112,15,60
05-04-2020,22:16,60115,50,460
05-04-2020,22:16,60118,29,158
05-04-2020,22:16,60119,16,129
05-04-2020,22:16,60120,351,822
05-04-2020,22:16,60123,214,713
05-04-2020,22:16,60124,30,232
05-04-2020,22:16,60126,149,903
05-04-2020,22:16,60130,69,477
05-04-2020,22:16,60131,162,612
05-04-2020,22:16,60133,289,787
05-04-2020,22:16,60134,76,324
05-04-2020,22:16,60135,14,85
05-04-2020,22:16,60136,23,95
05-04-2020,22:16,60137,72,526
05-04-2020,22:16,60139,250,846
05-04-2020,22:16,60140,38,230
05-04-2020,22:16,60141,6,141
05-04-2020,22:16,60142,43,344
05-04-2020,22:16,60143,83,385
05-04-2020,22:16,60148,144,848
05-04-2020,22:16,60152,28,157
05-04-2020,22:16,60153,254,964
05-04-2020,22:16,60154,112,601
05-04-2020,22:16,60155,101,315
05-04-2020,22:16,60156,54,351
05-04-2020,22:16,60157,6,31
05-04-2020,22:16,60160,302,942
05-04-2020,22:16,60162,86,317
05-04-2020,22:16,60163,46,162
05-04-2020,22:16,60164,228,1104
05-04-2020,22:16,60165,83,181
05-04-2020,22:16,60169,157,588
05-04-2020,22:16,60171,54,312
05-04-2020,22:16,60172,113,427
05-04-2020,22:16,60173,29,151
05-04-2020,22:16,60174,60,644
05-04-2020,22:16,60175,34,334
05-04-2020,22:16,60176,66,301
05-04-2020,22:16,60177,80,335
05-04-2020,22:16,60178,18,223
05-04-2020,22:16,60181,119,556
05-04-2020,22:16,60185,257,757
05-04-2020,22:16,60187,57,471
05-04-2020,22:16,60188,237,860
05-04-2020,22:16,60189,51,407
05-04-2020,22:16,60190,18,273
05-04-2020,22:16,60191,73,302
05-04-2020,22:16,60192,25,198
05-04-2020,22:16,60193,109,549
05-04-2020,22:16,60194,60,323
05-04-2020,22:16,60195,8,50
05-04-2020,22:16,60201,194,1284
05-04-2020,22:16,60202,193,1127
05-04-2020,22:16,60203,20,124
05-04-2020,22:16,60301,16,85
05-04-2020,22:16,60302,130,907
05-04-2020,22:16,60304,48,438
05-04-2020,22:16,60305,33,274
05-04-2020,22:16,60401,30,189
05-04-2020,22:16,60402,649,2337
05-04-2020,22:16,60403,90,552
05-04-2020,22:16,60404,63,436
05-04-2020,22:16,60406,208,828
05-04-2020,22:16,60408,10,82
05-04-2020,22:16,60409,330,1460
05-04-2020,22:16,60410,21,229
05-04-2020,22:16,60411,529,2325
05-04-2020,22:16,60415,119,400
05-04-2020,22:16,60417,92,465
05-04-2020,22:16,60418,54,241
05-04-2020,22:16,60419,226,998
05-04-2020,22:16,60422,61,359
05-04-2020,22:16,60423,89,556
05-04-2020,22:16,60425,79,519
05-04-2020,22:16,60426,266,1214
05-04-2020,22:16,60428,143,682
05-04-2020,22:16,60429,155,902
05-04-2020,22:16,60430,186,799
05-04-2020,22:16,60431,112,689
05-04-2020,22:16,60432,129,511
05-04-2020,22:16,60433,123,465
05-04-2020,22:16,60434,133,70
05-04-2020,22:16,60435,378,1706
05-04-2020,22:16,60436,99,562
05-04-2020,22:16,60438,217,931
05-04-2020,22:16,60439,55,422
05-04-2020,22:16,60440,415,1660
05-04-2020,22:16,60441,123,666
05-04-2020,22:16,60442,25,180
05-04-2020,22:16,60443,242,1039
05-04-2020,22:16,60445,87,494
05-04-2020,22:16,60446,236,1115
05-04-2020,22:16,60447,23,276
05-04-2020,22:16,60448,83,399
05-04-2020,22:16,60449,50,319
05-04-2020,22:16,60450,19,239
05-04-2020,22:16,60451,63,487
05-04-2020,22:16,60452,117,620
05-04-2020,22:16,60453,387,1442
05-04-2020,22:16,60455,190,767
05-04-2020,22:16,60456,23,114
05-04-2020,22:16,60457,74,265
05-04-2020,22:16,60458,60,391
05-04-2020,22:16,60459,195,734
05-04-2020,22:16,60461,39,231
05-04-2020,22:16,60462,155,819
05-04-2020,22:16,60463,113,386
05-04-2020,22:16,60464,27,169
05-04-2020,22:16,60465,98,396
05-04-2020,22:16,60466,355,1302
05-04-2020,22:16,60467,101,474
05-04-2020,22:16,60468,19,85
05-04-2020,22:16,60469,36,165
05-04-2020,22:16,60471,138,628
05-04-2020,22:16,60472,43,247
05-04-2020,22:16,60473,246,1112
05-04-2020,22:16,60475,50,290
05-04-2020,22:16,60476,13,75
05-04-2020,22:16,60477,128,786
05-04-2020,22:16,60478,212,1022
05-04-2020,22:16,60480,20,136
05-04-2020,22:16,60481,15,174
05-04-2020,22:16,60482,46,248
05-04-2020,22:16,60484,66,294
05-04-2020,22:16,60487,80,489
05-04-2020,22:16,60490,88,535
05-04-2020,22:16,60491,88,416
05-04-2020,22:16,60501,124,364
05-04-2020,22:16,60502,36,269
05-04-2020,22:16,60503,26,161
05-04-2020,22:16,60504,117,519
05-04-2020,22:16,60505,534,1118
05-04-2020,22:16,60506,343,1301
05-04-2020,22:16,60510,46,399
05-04-2020,22:16,60513,80,591
05-04-2020,22:16,60514,26,214
05-04-2020,22:16,60515,43,381
05-04-2020,22:16,60516,65,433
05-04-2020,22:16,60517,115,630
05-04-2020,22:16,60521,125,560
05-04-2020,22:16,60523,49,289
05-04-2020,22:16,60525,155,942
05-04-2020,22:16,60526,41,402
05-04-2020,22:16,60527,162,908
05-04-2020,22:16,60532,69,385
05-04-2020,22:16,60534,68,294
05-04-2020,22:16,60538,100,392
05-04-2020,22:16,60540,61,656
05-04-2020,22:16,60542,45,313
05-04-2020,22:16,60543,91,448
05-04-2020,22:16,60544,89,653
05-04-2020,22:16,60545,53,178
05-04-2020,22:16,60546,82,479
05-04-2020,22:16,60548,19,123
05-04-2020,22:16,60551,16,43
05-04-2020,22:16,60552,6,47
05-04-2020,22:16,60554,18,141
05-04-2020,22:16,60555,48,239
05-04-2020,22:16,60558,19,228
