Zip,Positive_Cases,Tested
60612,358,1611
60613,204,862
60614,251,1287
60615,222,1216
60616,220,1029
60617,440,2012
60618,451,1820
60619,528,1999
60620,656,2302
60621,267,897
60622,272,1204
60623,880,2067
60624,388,1284
60625,468,1498
60626,432,1431
60628,517,1877
60629,899,2285
60630,276,1333
60631,120,998
60632,771,1862
60633,97,456
60634,511,2606
60636,319,861
60637,304,1672
60638,400,1623
60639,933,2460
60640,396,1486
60641,437,1625
60642,59,406
60643,446,1706
60644,536,1609
60645,580,1730
60646,107,759
60647,435,1786
60649,421,1609
60651,555,1680
60652,305,995
60653,279,1097
60654,90,373
60655,156,930
60656,122,861
60657,188,1221
60659,337,977
60660,196,738
60661,23,155
60706,134,691
60707,269,1297
60712,94,377
60714,262,741
60803,92,441
60804,859,2186
60805,112,374
60827,170,684
60901,182,795
60914,55,452
60915,18,190
60950,16,185
60954,10,78
60958,8,43
60964,9,68
61008,66,236
61016,12,65
61021,14,321
61032,12,141
61065,11,67
61068,85,588
61071,16,81
61073,8,96
61080,6,49
61081,34,117
61101,27,198
61102,38,153
61103,30,228
61104,39,179
61107,23,230
61108,61,259
61109,40,250
61111,12,151
61114,22,104
61115,15,147
61201,75,246
61235,6,21
61241,12,78
61244,93,245
61252,6,41
61264,12,69
61265,97,359
61275,7,32
61282,22,82
61342,12,75
61356,6,61
61401,30,246
61462,48,116
61554,8,204
61603,7,191
61604,15,254
61605,6,114
61611,15,167
61614,20,196
61615,12,162
61701,33,637
61704,17,481
61705,8,190
61761,22,546
61764,8,139
61801,15,254
61802,18,271
61820,7,254
61821,12,364
61822,26,321
61832,8,246
61853,8,182
61866,6,196
61874,6,105
61910,6,39
61920,10,111
61938,9,147
62002,43,158
62010,8,35
62024,7,25
62025,92,207
62034,24,57
62035,10,53
62040,48,248
62052,9,51
62056,8,98
62060,9,38
62069,7,46
62088,6,163
62090,6,13
62095,9,50
62201,10,34
62203,14,39
62204,12,36
62205,15,43
62206,39,189
62207,23,40
62208,25,98
62220,41,111
62221,34,126
62223,27,69
62226,60,338
62231,39,137
62233,47,150
62234,25,120
62236,32,83
62239,6,18
62249,10,64
62254,11,51
62258,12,56
62265,8,23
62269,37,144
62272,13,23
62278,13,53
62286,13,77
62288,13,50
62294,10,52
62295,6,10
62298,27,83
62301,15,190
62305,13,70
62448,38,157
62454,7,77
62471,14,81
62521,69,422
62522,16,58
62526,15,136
62565,6,31
62568,24,138
62618,22,160
62650,14,169
62684,24,51
62702,22,352
62703,14,250
62704,12,354
62707,9,77
62711,11,139
62801,40,323
62832,6,100
62864,71,380
62901,48,267
62918,7,88
62959,13,321
62966,11,141
62992,13,38
