Zip,Positive_Cases,Tested
60609,383,1127
60610,117,606
60611,80,578
60612,285,1342
60613,184,711
60614,214,999
60615,199,1062
60616,209,887
60617,398,1696
60618,383,1483
60619,457,1650
60620,513,1574
60621,238,735
60622,241,991
60623,638,1529
60624,338,1110
60625,374,1216
60626,323,1127
60628,440,1545
60629,668,1697
60630,210,1100
60631,107,857
60632,516,1328
60633,57,251
60634,425,2170
60636,264,709
60637,272,1225
60638,294,1253
60639,688,1814
60640,304,1055
60641,339,1256
60642,45,322
60643,367,1235
60644,415,1245
60645,519,1499
60646,83,647
60647,299,1362
60649,337,1301
60651,446,1319
60652,249,775
60653,250,919
60654,85,296
60655,140,816
60656,103,734
60657,176,1006
60659,305,832
60660,176,616
60661,22,125
60706,105,578
60707,214,1034
60712,87,329
60714,205,590
60803,76,345
60804,515,1416
60805,89,296
60827,153,534
60901,175,700
60914,49,345
60915,17,154
60950,16,162
60954,9,66
60964,9,65
61008,42,172
61016,13,61
61021,12,287
61032,10,114
61065,9,54
61068,55,232
61071,15,52
61073,6,76
61081,22,66
61101,16,140
61102,28,106
61103,25,184
61104,24,111
61107,17,173
61108,42,179
61109,31,148
61111,8,102
61114,17,82
61115,11,113
61201,54,147
61235,6,19
61241,11,59
61244,78,184
61264,10,46
61265,75,253
61282,19,69
61342,7,42
61401,17,164
61462,30,66
61554,7,142
61603,7,106
61604,10,122
61611,11,112
61614,14,114
61615,14,103
61701,34,547
61704,16,404
61705,7,161
61761,18,451
61764,8,120
61801,12,219
61802,17,232
61820,8,211
61821,10,311
61822,25,283
61832,6,213
61853,8,155
61874,6,92
61910,6,35
61920,8,83
61938,7,122
62002,40,114
62010,8,24
62024,7,17
62025,56,63
62034,14,28
62035,8,42
62040,36,213
62052,8,48
62056,6,78
62060,7,31
62069,6,30
62095,8,35
62201,8,18
62203,11,22
62204,9,21
62205,12,27
62206,31,50
62207,18,19
62208,22,74
62220,30,81
62221,31,101
62223,22,47
62226,52,93
62231,6,56
62233,36,128
62234,22,79
62236,31,77
62249,9,58
62258,12,50
62265,8,22
62269,28,119
62278,13,44
62286,8,56
62288,7,39
62294,10,40
62298,24,72
62301,13,155
62305,12,63
62448,38,137
62454,6,64
62471,13,69
62521,73,369
62522,11,51
62526,9,113
62568,23,125
62618,7,44
62650,13,137
62684,8,32
62702,18,285
62703,8,202
62704,7,290
62707,7,61
62711,11,117
62801,39,276
62864,66,306
62901,41,240
62918,6,75
62959,11,191
62966,6,120
62992,10,32
